tasknumber,jpname,cnname,shortname,,,,
B31,「第二戦隊」抜錨！,“第二战队”起锚！,第二战队起锚,,,,
B48,鎮守府正面の対潜哨戒を強化せよ！,强化镇守府正面的对潜！,强化镇守府正面的对潜,,,,
B63,製油所地帯を防衛せよ！,制油所地带防卫作战！,制油所地带防卫作战,,,,
B64,南西諸島防衛線を強化せよ！,南西诸岛防线强化！,南西诸岛防线强化,,,,
B65,オリョール海の制海権を確保せよ！,东部奥廖尔海制海权确保！,东部奥廖尔海制海权确保,,,,
B67,艦隊、三周年！,舰队、三周年！,舰队三周年,,,,
B72,「第三十一戦隊」敵潜を制圧せよ！,“第三十一战队”对敌潜艇压制！,第三十一战队对敌潜艇压制,,,,
B74,精鋭「八駆第一小隊」対潜哨戒！,精锐“八驱第一小队”対潜哨戒！,精锐八驱第一小队対潜哨戒,,,,
B75,水雷戦隊、南西諸島防衛線に反復出撃せよ！,水雷战队、南西诸岛防卫线反复出击！,水雷战队南西诸岛防卫线反复出击,,,,
B77,水雷戦隊、南西諸島海域を哨戒せよ！,水雷战队、南西诸岛海域的警戒！,水雷战队南西诸岛海域的警戒,,,,
B90,精鋭「第八駆逐隊」突入せよ！,精锐“第八驱逐队”突入！,精锐第八驱逐队突入,,,,
B93,南西諸島方面の敵艦隊を撃破せよ！,击破南西群岛方面的敌舰队！,击破南西群岛方面的敌舰队,,,,
B94,洋上航空戦力を拡充せよ！,扩充洋上航空战力！,扩充洋上航空战力,,,,
B95,改装航空巡洋艦、出撃！,改装航空巡洋舰，出击！,改装航空巡洋舰出击,,,,
B96,改装攻撃型軽空母、前線展開せよ！,改装攻击型轻空母，前线展开！,改装攻击型轻空母前线展开,,,,
B97,鎮守府海域警戒を厳とせよ！,强化镇守府海域警戒,,,,,
B98,海上護衛体制の強化に努めよ！,努力进行海上护卫体制的强化！,努力进行海上护卫体制的强化,,,,
B99,新編「第一戦隊」、抜錨せよ！,新编“第一战队”，拔锚出击！,新编第一战队拔锚出击,,,,
B100,増強海上護衛総隊、抜錨せよ！,加强的海上护卫总队，出发！,加强的海上护卫总队出发,,,,
